REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ABBOTT LABORATORIES|AMERICAS||1|0.3|2,500,000|0|< 5%
ABERTIS INFRAESTRUCTURAS, S.A.|EUROPE||1|0.3|2,500,000|0|> 95%
ABU DHABI|SOVEREIGN|Y|6|4.3|10,000,000|2|> 95%
ACCOR|EUROPE|Y|7|4.3|12,500,000|2|> 95%
ACOM CO., LTD.|JAPAN|Y|4|1.7|2,500,000|0|> 95%
ADECCO GROUP AG|EUROPE|Y|0|0.0|2,500,000|0|> 95%
ADLER REAL ESTATE AKTIENGESELLSCHAFT|EUROPE|Y|6|3.7|2,500,000|1|> 95%
ADVANCED MICRO DEVICES, INC.|AMERICAS|Y|5|2.3|5,000,000|1|< 5%
AEGON N.V.|EUROPE|Y|9|7.7|20,000,000|4|> 95%
AEON CO., LTD.|JAPAN|Y|6|3.7|2,500,000|0|> 95%
AETNA INC.|AMERICAS|Y|3|1.0|5,000,000|0|< 5%
AGILE GROUP HOLDINGS LIMITED|ASIA EX-JAPAN||3|1.0|2,500,000|0|> 95%
AIR FRANCE - KLM|EUROPE|Y|9|4.7|5,000,000|2|> 95%
AIRBUS SE|EUROPE|Y|7|4.0|15,000,000|2|> 95%
AK STEEL CORPORATION|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
AKTIEBOLAGET ELECTROLUX|EUROPE|Y|2|0.7|5,000,000|1|> 95%
AKTIEBOLAGET VOLVO|EUROPE|Y|10|5.3|7,500,000|1|> 95%
AKZO NOBEL N.V.|EUROPE|Y|4|1.3|5,000,000|1|> 95%
ALCATEL LUCENT|EUROPE|Y|1|0.3|2,500,000|0|> 95%
ALIBABA GROUP HOLDING LIMITED|ASIA EX-JAPAN|Y|4|3.7|7,500,000|1|> 95%
ALLIANZ SE|EUROPE|Y|10|5.7|10,000,000|2|> 95%
ALLY FINANCIAL INC.|AMERICAS|Y|5|4.0|10,000,000|3|< 5%
ALSTOM|EUROPE|Y|4|1.3|7,500,000|1|> 95%
ALTICE FINCO S.A.|EUROPE|Y|8|6.3|10,000,000|3|> 95%
ALTICE FRANCE|EUROPE|Y|9|7.0|25,000,000|5|> 95%
ALTICE FRANCE HOLDING S.A.|EUROPE||4|2.0|2,500,000|0|> 95%
ALTRIA GROUP, INC.|AMERICAS|Y|8|4.0|15,000,000|3|< 5%
AMERICA MOVIL SOCIEDAD ANONIMA BURSATIL DE CAPITAL VARIABLE|AMERICAS|Y|4|1.7|2,500,000|0|> 95%
AMERICAN AIRLINES GROUP INC.|AMERICAS|Y|7|5.0|15,000,000|10|< 5%
AMERICAN AXLE & MANUFACTURING, INC.|AMERICAS|Y|6|5.3|15,000,000|5|< 5%
AMERICAN ELECTRIC POWER COMPANY, INC.|AMERICAS|Y|6|2.3|7,500,000|2|< 5%
AMERICAN EXPRESS COMPANY|AMERICAS|Y|4|2.0|7,500,000|1|< 5%
AMERICAN INTERNATIONAL GROUP, INC.|AMERICAS|Y|7|2.7|12,500,000|3|< 5%
AMERICAN TOWER CORPORATION|AMERICAS||2|0.7|2,500,000|0|< 5%
AMGEN INC.|AMERICAS|Y|7|4.3|10,000,000|2|< 5%
AMKOR TECHNOLOGY, INC.|AMERICAS|Y|4|1.3|2,500,000|1|< 5%
AMP GROUP HOLDINGS LIMITED|AUSTRALIA NZ|Y|0|0.0|2,500,000|0|> 95%
ANA HOLDINGS INC.|JAPAN|Y|6|3.3|2,500,000|0|> 95%
ANGLO AMERICAN PLC|EUROPE|Y|10|7.7|17,500,000|5|> 95%
ANHEUSER-BUSCH INBEV|EUROPE|Y|7|4.7|22,500,000|2|> 95%
ANTERO RESOURCES CORPORATION|AMERICAS|Y|5|3.0|2,500,000|1|< 5%
APACHE CORPORATION|AMERICAS|Y|7|6.0|22,500,000|7|< 5%
APPLE INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
ARAB REPUBLIC OF EGYPT|SOVEREIGN|Y|3|2.3|2,500,000|0|> 95%
ARAMARK SERVICES, INC.|AMERICAS|Y|6|2.3|5,000,000|1|< 5%
ARCELORMITTAL|EUROPE|Y|8|4.7|20,000,000|4|> 95%
ARDAGH PACKAGING FINANCE PUBLIC LIMITED COMPANY|EUROPE|Y|6|3.3|5,000,000|1|> 95%
ARGENTINE REPUBLIC|SOVEREIGN|Y|8|6.3|12,500,000|4|> 95%
ARROW ELECTRONICS, INC.|AMERICAS|Y|2|0.7|10,000,000|3|< 5%
ASHLAND LLC|AMERICAS|Y|6|4.0|2,500,000|2|< 5%
